Name,Set,Market,Low,Date
Crucible of Worlds,10th Edition,$70.81,$45.00,2017-05-12
Seedborn Muse,10th Edition,$22.99,$14.75,2017-05-12
Brushland,10th Edition,$17.49,$10.00,2017-05-12
Lord of the Undead,10th Edition,$13.74,$7.00,2017-05-12
Time Stretch,10th Edition,$12.51,$7.00,2017-05-12
Doubling Cube,10th Edition,$12.14,$7.00,2017-05-12
Adarkar Wastes,10th Edition,$11.16,$5.50,2017-05-12
Grave Pact,10th Edition,$10.41,$6.00,2017-05-12
Coat of Arms,10th Edition,$9.69,$5.50,2017-05-12
Birds of Paradise,10th Edition,$9.47,$5.01,2017-05-12
Elvish Champion,10th Edition,$8.99,$5.70,2017-05-12
Sculpting Steel,10th Edition,$8.99,$7.30,2017-05-12
Elvish Piper,10th Edition,$8.17,$4.00,2017-05-12
Sulfurous Springs,10th Edition,$6.89,$4.00,2017-05-12
Field Marshal,10th Edition,$6.55,$3.65,2017-05-12
Hurkyl's Recall,10th Edition,$6.00,$3.00,2017-05-12
Beacon of Immortality,10th Edition,$5.69,$3.50,2017-05-12
Platinum Angel,10th Edition,$5.21,$3.80,2017-05-12
Karplusan Forest,10th Edition,$4.89,$2.50,2017-05-12
Angelic Chorus,10th Edition,$4.75,$2.50,2017-05-12
"Squee, Goblin Nabob",10th Edition,$4.73,$2.45,2017-05-12
Underground River,10th Edition,$4.69,$1.50,2017-05-12
Beacon of Unrest,10th Edition,$4.49,$2.50,2017-05-12
Shatterstorm,10th Edition,$4.37,$2.11,2017-05-12
Wrath of God,10th Edition,$4.21,$4.20,2017-05-12
Chromatic Star,10th Edition,$4.14,$2.50,2017-05-12
Goblin King,10th Edition,$4.00,$3.13,2017-05-12
Yavimaya Coast,10th Edition,$3.99,$1.50,2017-05-12
Pithing Needle,10th Edition,$3.96,$2.70,2017-05-12
Pariah,10th Edition,$3.90,$1.51,2017-05-12
Howling Mine,10th Edition,$3.64,$2.70,2017-05-12
Abundance,10th Edition,$3.52,$1.51,2017-05-12
Doomed Necromancer,10th Edition,$3.45,$2.50,2017-05-12
Underworld Dreams,10th Edition,$3.37,$1.50,2017-05-12
Caves of Koilos,10th Edition,$3.36,$2.20,2017-05-12
Llanowar Wastes,10th Edition,$3.25,$0.90,2017-05-12
Arcanis the Omnipotent,10th Edition,$3.18,$1.32,2017-05-12
Shivan Reef,10th Edition,$3.17,$1.05,2017-05-12
Plague Wind,10th Edition,$3.02,$1.28,2017-05-12
Battlefield Forge,10th Edition,$2.99,$1.40,2017-05-12
Phage the Untouchable,10th Edition,$2.87,$1.51,2017-05-12
Evacuation,10th Edition,$2.81,$1.50,2017-05-12
Twincast,10th Edition,$2.74,$1.50,2017-05-12
Seismic Assault,10th Edition,$2.70,$1.14,2017-05-12
Relentless Rats,10th Edition,$2.45,$0.75,2017-05-12
Traumatize,10th Edition,$2.44,$1.01,2017-05-12
Citanul Flute,10th Edition,$2.37,$1.00,2017-05-12
Reya Dawnbringer,10th Edition,$2.24,$1.28,2017-05-12
Aura of Silence,10th Edition,$2.20,$0.75,2017-05-12
Time Stop,10th Edition,$2.20,$1.50,2017-05-12
Hypnotic Specter,10th Edition,$2.18,$1.50,2017-05-12
Siege-Gang Commander,10th Edition,$2.06,$1.40,2017-05-12
Joiner Adept,10th Edition,$2.00,$1.52,2017-05-12
Story Circle,10th Edition,$1.85,$0.81,2017-05-12
